HIP       RA          DEC          LST         Date
080763    16 30 33    -26 24 44    17 01 05    18.07.2018
083207    17 01 00    +30 52 09    17 17 53    18.07.2018
084380    17 15 41    +36 44 52    17 20 18    18.07.2018
085670    17 30 49    +52 13 31    17 22 05    18.07.2018
090139    18 24 29    +21 49 16    17 24 21    18.07.2018
088794    18 08 15    +28 45 22    17 25 54    18.07.2018
089962    18 22 14    -02 53 30    17 29 00    18.07.2018
091262    18 37 33    +38 45 39    17 31 19    18.07.2018
092420    18 50 46    +33 19 19    17 33 05    18.07.2018
093194    18 59 39    +32 39 09    17 35 02    18.07.2018
093747    19 06 15    +13 51 58    17 37 51    18.07.2018
094376    19 12 32    +67 35 54    17 42 44    18.07.2018
094779    19 17 33    +53 18 10    17 46 36    18.07.2018
095853    19 30 12    +51 40 45    17 47 47    18.07.2018
097165    19 45 35    +45 05 08    17 49 25    18.07.2018
095947    19 31 29    +27 55 10    17 51 28    18.07.2018
097365    19 48 13    +18 30 14    17 53 55    18.07.2018
098110    19 57 01    +35 06 53    17 55 35    18.07.2018
101769    20 38 25    +14 36 52    17 58 07    18.07.2018
109176    22 07 52    +25 25 04    18 00 14    18.07.2018
116584    23 38 30    +46 30 33    18 02 36    18.07.2018
113881    23 04 41    +28 07 34    18 04 11    18.07.2018
113726    23 02 48    +42 23 05    18 05 42    18.07.2018
000677    00 09 20    +29 09 53    18 07 12    18.07.2018
009598    02 04 50    +72 26 25    18 10 30    18.07.2018
011767    02 45 14    +89 14 01    18 13 36    18.07.2018
008886    01 55 39    +63 39 25    18 15 31    18.07.2018
003179    00 41 35    +56 33 33    18 16 46    18.07.2018
113726    23 02 48    +42 19 59    18 18 30    18.07.2018
102098    20 42 06    +45 15 29    18 20 28    18.07.2018
088771    18 08 15    +09 33 47    18 22 56    19.07.2018
084345    17 15 31    +14 22 23    18 25 16    19.07.2018
083207    17 01 01    +30 53 20    18 27 32    19.07.2018
081377    16 38 14    -10 35 49    18 33 22    19.07.2018
080883    16 31 53    +01 56 58    18 37 27    19.07.2018
080816    16 31 02    +21 25 38    18 38 54    19.07.2018
080331    16 24 11    +61 25 00    18 41 21    19.07.2018
079992    16 20 17    +46 11 43    18 43 49    19.07.2018
075695    15 28 35    +29 00 40    18 46 00    19.07.2018
076276    15 35 43    +10 26 19    18 47 27    19.07.2018
075458    15 25 15    +58 52 00    18 50 21    19.07.2018
075097    15 20 29    +71 43 54    18 51 44    19.07.2018
072607    14 50 22    +74 00 53    18 53 23    19.07.2018
068756    14 04 42    +64 13 56    18 54 47    19.07.2018
065477    13 25 51    +54 49 51    18 56 15    19.07.2018
062956    12 54 43    +55 48 25    18 57 39    19.07.2018
056211    11 32 04    +69 09 47    19 00 09    19.07.2018
