HIP     RA          Dec         LST         date
097649	19 52 06	+08 46 20	20 29 00    18.10.2017      
091262	18 37 58	+38 39 12	21 17 00    18.10.2017
102098	20 42 29	+45 10 37	21 24 00    18.10.2017
000677	00 09 46    +29 02 01   21 37 00    18.10.2017
000746	00 10 36	+59 02 06	21 46 00    18.10.2017
003179	00 41 59    +56 25 43	21 51 00    18.10.2017
004427	00 58 14	+60 35 17	21 58 00    18.10.2017
105199	21 19 25	+62 26 49   22 09 00    18.10.2017
097649	19 52 07	+08 46 51	22 15 00    18.10.2017
005447	01 11 11	+35 33 21	22 23 00    18.10.2017
113963	23 06 04	+15 10 32	22 32 00    18.10.2017
100453	20 23 18	+40 10 24	22 41 00    18.10.2017
102488	20 47 22	+33 55 05   23 00 00    18.10.2017
113881	23 04 18    +28 18 59   23 06 30    22.09.2017
105199	21 18 59	+62 40 31   23 11 55    22.09.2017
107315	21 45 06	+10 00 45   23 18 35    22.09.2017
113963	23 05 40	+15 17 55   23 23 37    22.09.2017
000677	00 09 18	+29 13 14   23 28 32    22.09.2017
000746	00 10 06	+59 11 04   23 33 05    22.09.2017
003179	00 41 31	+56 34 11   23 37 39    22.09.2017
009640	02 05 01	+42 21 56   23 44 34    22.09.2017
009884	02 08 11	+23 31 25   23 47 44    22.09.2017
015863	03 25 35	+49 54 02   23 52 36    22.09.2017
102488	20 46 56	+34 02 49   00 01 10    22.09.2017
105199	21 18 57	+62 39 43   00 05 49    22.09.2017
107315	21 45 06	+09 57 32   00 10 34    22.09.2017
021421	04 35 55    +16 30 35   NaN         13.02.2018
015863	03 21 09    +49 53 33   04 00 00    06.02.2018
023015	04 53 43    +33 11 39   04 48 00    06.02.2018    
021421	04 32 32    +16 33 59   05 08 00    06.02.2018
024608	05 13 35    +46 00 57   06 00 00    06.02.2018
031681	06 34 19    +16 23 48   06 30 00    06.02.2018
025428	05 23 01    +28 38 18   06 35 00    06.02.2018
028380	05 56 31    +37 14 43   06 40 00    06.02.2018
036850	07 31 18    +31 50 51   06 45 00    06.02.2018
037826	07 41 58    +27 59 03   06 50 00    06.02.2018
037279	07 35 47    +05 12 25   06 55 00    06.02.2018
027989	05 51 45    +07 27 41   07 02 00    06.02.2018
025336	05 21 41    +06 25 14   07 15 00    06.02.2018
003419	00 43 43    -17 52 19   NaN         22.11.2017 
000677	00 08 33    +29 08 00   NaN         22.11.2017
102098	20 41 12    +45 20 08   NaN         22.11.2017
021421	04 35 53    +16 30 49   01 50 11    22.11.2017
024436	05 14 29    -08 10 01   01 53 15    22.11.2017
025336	05 25 15    +06 22 47   01 56 43    22.11.2017
025428	05 26 37    +28 36 44   01 59 55    22.11.2017
024608	05 17 12    +45 57 07   02 10 00    22.11.2017
015863	03 24 50    +49 50 02   02 12 59    22.11.2017
NaN   	02 04 13    +42 18 01   02 18 29    22.11.2017
000677	00 08 32    +29 11 41   02 24 14    22.11.2017
113881	23 03 51    +28 11 34   02 27 30    22.11.2017
102098	20 42 21	+45 16 43	20 54 00	17.10.2017
100453	20 23 11	+40 14 57	21 09 00	17.10.2017
091262	18 37 50	+38 43 25	21 16 00	17.10.2017
005447	01 11 04	+35 37 29	21 26 00	17.10.2017
004427	00 58 06	+60 43 15	21 33 00	17.10.2017	
097649	19 52 00	+08 49 56	21 40 00	17.10.2017
107315	21 45 22	+09 55 36	21 46 00	17.10.2017
113963	23 05 58	+15 17 08	21 50 00	17.10.2017
000677	00 09 40	+29 10 32 	21 54 00	17.10.2017			
054061	11 04 53	+61 30 51	22 26 00	17.10.2017
113881	23 05 03	+27 58 02	22 50 00	17.10.2017
105199	21 19 23	+62 28 34	22 56 00	17.10.2017
102488	20 47 21	+33 49 42	23 00 00	17.10.2017
000746	00 10 32	+59 02 55	23 06 00	17.10.2017
003179	00 41 58	+56 25 30	23 09 00	17.10.2017
009884	02 08 35	+23 22 25	23 13 00	17.10.2017
050583  10 20 35	+19 01 07	11 08 40	19.04.2018
069673  14 16 08    +18 20 58   11 47 53    19.04.2018
058001	11 54 31	+52 46 09	11 02 20	20.04.2018
062956	12 54 36	+55 01 54	11 07 00	20.04.2018
065378	13 24 27	+53 58 44	11 15 40	20.04.2018
069673	14 16 16	+18 19 19	11 25 15	20.04.2018
049669	10 09 08	+11 06 54	11 37 05	20.04.2018
057632	11 49 46	+13 42 00	11 40 30	20.04.2018
054872	11 14 52	+19 40 29	11 43 30	20.04.2018
54872   11 15 06    +20 26 08   12 03 06    07.05.2018             
69673   14 16 31    +19 04 58   12 33 47    07.05.2018                 
65378   13 24 38    +54 47 32   12 40 01    07.05.2018                 
54061   11 04 47    +61 38 26   12 46 40    07.05.2018                 
65474   13 26 09    -11 14 19   13 20 20    07.05.2018                 
86032   17 35 45    +12 33 36   13 33 50    07.05.2018                 
81693   16 42 00    +31 33 26   13 50 30    07.05.2018                 
76267   15 35 28    +26 36 48   14 00 30    07.05.2018                 
72105   14 45 47    +26 58 57   14 04 30    07.05.2018                 
73555   15 02 38    +40 17 05   14 09 00    07.05.2018                 
80331   16 24 16    +61 24 44   14 14 45    07.05.2018                 
59774   12 16 17    +56 51 20   14 22 20    07.05.2018                 
67301   13 48 17    +49 07 57   14 28 05    07.05.2018                 
71957   14 44 01    -05 42 26   14 35 00    07.05.2018
50583   10 20 58	+19 44 56	11 15 30	08.05.2018  
57632	11 49 56	+14 27 26	11 36 20	08.05.2018
62956	12 54 46	+55 52 27	11 41 50	08.05.2018
65474	13 26 04	-11 14 00	11 50 00	08.05.2018
49669	10 09 20	+11 53 11	12 00 00	08.05.2018
36850	07 35 42	+31 51 53	12 05 00	08.05.2018
37826	07 46 23	+27 58 50	12 12 30	08.05.2018
