HIP		RA (+20s)	Dec(-2-12m)	LST		N

102098		20 42 21	45 16 43	20 54 00	01
100453		20 23 11	40 14 57	21 09 00	02
172167		18 37 50	38 43 25	21 16 00	03
5447		01 11 04	35 37 29	21 26 00	04
4427		00 58 06	60 43 15	21 33 00	05	
97649		19 52 00	08 49 56	21 40 00	06
107315		21 45 22	09 55 36	21 46 00	07
113963		23 05 58	15 17 08	21 50 00	08
677		00 09 40	29 10 32 	21 54 00	09			
54061		11 04 53	61 30 51	22 26 00	10
72607		14 50 30	73 54 42	22 37 00	11
113881		23 05 03	27 58 02	22 50 00	12
105199		21 19 23	62 28 34	22 56 00	13
102488		20 47 21	33 49 42	23 00 00	14
746		00 10 32	59 02 55	23 06 00	15
3179		00 41 58	56 25 30	23 09 00	16
9884		02 08 35	23 22 25	23 13 00	17
