HIP	RA(hh mm ss)	DEC(°° '' "")	LST(hh mm ss)	DATE(dd.mm.yyyy)
50583   10 20 35	+19 01 07	11 08 40	19.04.2018
69673   14 16 08        +18 20 58       11 47 53        19.04.2018
49669   09 58 58        +11 36 56       10 37 30        20.04.2018
57632   11 49 56	+15 22 17	10 48 40	20.04.2018
58001	11 54 31	+52 46 09	11 02 20	20.04.2018
62956	12 54 36	+55 01 54	11 07 00	20.04.2018
65378	13 24 27	+53 58 44	11 15 40	20.04.2018
69673	14 16 16	+18 19 19	11 25 15	20.04.2018
60179	07 35 30	+31 03 56	11 31 10	20.04.2018
49669	10 09 08	+11 06 54	11 37 05	20.04.2018
57632	11 49 46	+13 42 00	11 40 30	20.04.2018
54872	11 14 52	+19 40 29	11 43 30	20.04.2018
