Bet Cet 0h44m29.2s -17°53'27" 00h43m43s -17°52'19" 
Alp And 0h09m19.2s +29°11'28" 00h08m33s +29°08'00"
Alp Cyg 20h42m01.6s +45°21'00" 20h41m12s +45°20'08"
Alp Tau 4h36m57.6s +16°32'33" 04h35m53s +16°30'49" 01 50 11
Bet Ori 5h15m24.5s -08°10'59" 05h14m29s -08°10'01" 01 53 15
Gam Ori 5h26m06.0s +06°21'48" 05h25m15s +06°22'47" 01 56 43
Bet Tau 5h27m26.0s +28°37'08" 05h26m37s +28°36'44" 01 59 55
Alp Aur 5h18m01.7s +46°00'42" 05h17m12s +45°57'07" 02 10 00
Alp Per 3h25m37.9s +49°55'21" 03h24m50s +49°50'02" 02 12 59
Gam01 And 2h05m01.3s +42°24'55" 02h04m13s +42°18'01" 02 18 29
Alp And 0h09m19.2s +29°11'28" 00h08m32s +29°11'41" 02 24 14
bet Peg  23h04m38.5s +28°10'58" 23h03m51s +28°11'34" 02 27 37
Alp ari   2h08m11.8s +23°32'46" 
 

