HIPid  HIPrahms          HIPdedms   ObservedRA ObservedDec   LST

113881  23 03 46.33  +28 04 56.8    23 04 18  +28 18 59   23 06 30 synced coord. to controller
105199  21 18 34.58  +62 35 07.6    21 18 59  +62 40 31   23 11 55
107315  21 44 11.14  +09 52 30.0    21 45 06  +10 00 45   23 18 35
113963  23 04 45.62  +15 12 19.3    23 05 40  +15 17 55   23 23 37
677     00 08 23.17  +29 05 27.0    00 09 18  +29 13 14   23 28 32
746     00 09 10.09  +59 09 00.8    00 10 06  +59 11 04   23 33 05
3179    00 40 30.39  +56 32 14.7    00 41 31  +56 34 11   23 37 39
9640    02 03 53.92  +42 19 47.5    02 05 01  +42 21 56   23 44 34
9884    02 07 10.29  +23 27 46.0    02 08 11  +23 31 25   23 47 44
15863   03 24 19.35  +49 51 40.5    03 25 35  +49 54 02   23 52 36
102488  20 46 12.43  +33 58 10.0    20 46 56  +34 02 49   00 01 10
105199  21 18 34.58  +62 35 07.6    21 18 57  +62 39 43   00 05 49
107315  21 44 11.14  +09 52 30.0    21 45 06  +09 57 32   00 10 34
