HIP     RA(hh mm ss)    DEC(°° '' "")   LST(hh mm ss)   DATE(dd.mm.yyyy)           
54872   11 15 06        +20 26 08       12 03 06        07.05.2018                 
48324   10 09 22        +11 52 25       12 23 53        07.05.2018                 
69673   14 16 31        +19 04 58       12 33 47        07.05.2018                 
65378   13 24 38        +54 47 32       12 40 01        07.05.2018                 
54061   11 04 47        +61 38 26       12 46 40        07.05.2018                 
65474   13 26 09        -11 14 19       13 20 20        07.05.2018                 
86032   17 35 45        +12 33 36       13 33 50        07.05.2018                 
81693   16 42 00        +31 33 26       13 50 30        07.05.2018                 
76267   15 35 28        +26 36 48       14 00 30        07.05.2018                 
72105   14 45 47        +26 58 57       14 04 30        07.05.2018                 
73555   15 02 38        +40 17 05       14 09 00        07.05.2018                 
80331   16 24 16        +61 24 44       14 14 45        07.05.2018                 
59774   12 16 17        +56 51 20       14 22 20        07.05.2018                 
67301   13 48 17        +49 07 57       14 28 05        07.05.2018                 
71957   14 44 01        -05 42 26       14 35 00        07.05.2018
