HIP	RA(hh mm ss)	DEC(°° '' "")	LST(hh mm ss)	DATE(dd.mm.yyyy)
91262	18 37 36	+38 47 51	16 05 57	08.07.2018
87833	17 57 03	+51 27 00	16 11 00	08.07.2018
85670	17 30 50	+52 13 19	16 14 00	08.07.2018
84345	17 15 28	+14 19 04	16 18 00	08.07.2018
80816   16 31 00        +21 28 14       16 22 00        08.07.2018
79593   16 15 19        -03 44 12       16 25 00        08.07.2018
77070   15 45 12        +06 23 38       16 29 30        08.07.2018
76267   15 35 29        +26 38 31       16 33 00        08.07.2018
74785   15 18 02        -09 24 09       16 38 00        08.07.2018
69673   14 16 30        +19 06 06       16 52 00        08.07.2018
72105   14 45 48        +26 59 23       16 56 00        08.07.2018
67301   13 48 12        +49 12 58       17 02 00        08.07.2018
65378   13 24 33        +54 48 03       17 05 00        08.07.2018
62956   12 54 43        +55 51 19       17 08 30        08.07.2018
58001   11 54 40        +53 33 28       17 13 30        08.07.2018
86742   17 44 22        +04 33 42       17 25 00        08.07.2018
86032   17 35 4b        +12 33 46       17 28 00        08.07.2018

