HIP	RA(hh mm ss)	DEC(°° '' "")	LST(hh mm ss)	DATE(dd.mm.yyyy)
50583   10 20 58	+19 44 56	11 15 30	08.05.2018   synchronized
57632	11 49 56	+14 27 26	11 36 20	08.05.2018
62956	12 54 46	+55 52 27	11 41 50	08.05.2018
65474	13 26 04	-11 14 00	11 50 00	08.05.2018
49669	10 09 20	+11 53 11	12 00 00	08.05.2018
36850	07 35 42	+31 51 53	12 05 00	08.05.2018
37826	07 46 23	+27 58 50	12 12 30	08.05.2018
63125	16 42 03	+31 31 33	12 35 03	08.05.2018
76267	15 35 32	+26 35 34	12 45 00 	08.05.2018
69673	14 16 33	+19 03 17 	12 50 14	08.05.2018
74785	15 18 01	-09 25 54	12 55 00	08.05.2018

