HIP    RA[hh mm ss]    RA_float[h]    DEC[°° mm ss]    DEC_float[°]    HA[hh mm ss]    HA_float[h]    Target_RA[hh mm ss]    Target_RA_float[h]    Target_DEC[°° mm ss]    Target_DEC_float[°]    Target_HA_float[h]    LST    UTC    Date
080763    16 30 33    16.509166666666665    -26 24 44    -26.41222222222222    +00 30 32    0.5088888888888903    16 30 33    16.509166666666665    -26 28 13    -26.470277777777778    0.5088888888888903    17:01:05    20:39:45    18.07.2018
083207    17 01 00    17.016666666666666    +30 52 09    30.86916666666667    +00 16 53    0.28138888888889113    17 01 00    17.016666666666666    +30 54 16    30.904444444444444    0.28138888888889113    17:17:53    20:56:30    18.07.2018
084380    17 15 41    17.261388888888888    +36 44 52    36.74777777777778    +00 04 37    0.07694444444444315    17 15 42    17.261666666666667    +36 47 37    36.79361111111111    0.07666666666666444    17:20:18    20:58:55    18.07.2018
085670    17 30 49    17.51361111111111    +52 13 31    52.22527777777778    -00 08 44    -0.14555555555555344    17 30 52    17.514444444444443    +52 17 34    52.29277777777778    -0.14638888888888602    17:22:05    21:00:42    18.07.2018
090139    18 24 29    18.408055555555553    +21 49 16    21.82111111111111    -01 00 08    -1.0022222222222226    18 24 30    18.40833333333333    +21 46 56    21.78222222222222    -1.0025000000000013    17:24:21    21:02:57    18.07.2018
088794    18 08 15    18.1375    +28 45 22    28.75611111111111    -00 42 21    -0.7058333333333309    18 08 16    18.137777777777778    +28 46 10    28.769444444444442    -0.7061111111111096    17:25:54    21:04:30    18.07.2018
089962    18 22 14    18.370555555555555    -02 53 30    -2.8916666666666666    -00 53 14    -0.8872222222222206    18 22 16    18.371111111111112    -02 53 25    -2.890277777777778    -0.887777777777778    17:29:00    21:07:36    18.07.2018
091262    18 37 33    18.625833333333333    +38 45 39    38.76083333333333    -01 06 14    -1.1038888888888891    18 37 35    18.62638888888889    +38 48 17    38.80472222222222    -1.1044444444444466    17:31:19    21:09:54    18.07.2018
092420    18 50 46    18.84611111111111    +33 19 19    33.32194444444445    -01 17 41    -1.2947222222222194    18 50 46    18.84611111111111    +33 23 16    33.38777777777778    -1.2947222222222194    17:33:05    21:11:39    18.07.2018
093194    18 59 39    18.99416666666667    +32 39 09    32.652499999999996    -01 24 37    -1.4102777777777824    18 59 39    18.99416666666667    +32 43 06    32.718333333333334    -1.4102777777777824    17:35:02    21:13:37    18.07.2018
093747    19 06 15    19.104166666666668    +13 51 58    13.866111111111111    -01 28 24    -1.4733333333333327    19 06 16    19.104444444444447    +13 53 40    13.894444444444444    -1.4736111111111114    17:37:51    21:16:25    18.07.2018
094376    19 12 32    19.20888888888889    +67 35 54    67.59833333333333    -01 29 48    -1.4966666666666697    19 12 37    19.210277777777776    +67 41 46    67.69611111111111    -1.4980555555555561    17:42:44    21:21:17    18.07.2018
094779    19 17 33    19.2925    +53 18 10    53.30277777777778    -01 30 57    -1.5158333333333331    19 17 33    19.2925    +53 24 18    53.405    -1.5158333333333331    17:46:36    21:25:08    18.07.2018
095853    19 30 12    19.503333333333334    +51 40 45    51.67916666666667    -01 42 25    -1.7069444444444422    19 30 12    19.503333333333334    +51 46 17    51.771388888888886    -1.7069444444444422    17:47:47    21:26:20    18.07.2018
097165    19 45 35    19.759722222222223    +45 05 08    45.08555555555556    -01 56 10    -1.9361111111111136    19 45 34    19.759444444444444    +45 10 41    45.17805555555555    -1.9358333333333348    17:49:25    21:27:57    18.07.2018
095947    19 31 29    19.52472222222222    +27 55 10    27.919444444444444    -01 40 01    -1.6669444444444395    19 31 29    19.52472222222222    +28 00 05    28.00138888888889    -1.6669444444444395    17:51:28    21:30:00    18.07.2018
097365    19 48 13    19.803611111111113    +18 30 14    18.503888888888888    -01 54 18    -1.9050000000000011    19 48 13    19.803611111111113    +18 34 57    18.5825    -1.9050000000000011    17:53:55    21:32:26    18.07.2018
098110    19 57 01    19.950277777777778    +35 06 53    35.11472222222223    -02 01 26    -2.0238888888888873    19 57 01    19.950277777777778    +35 08 05    35.13472222222222    -2.0238888888888873    17:55:35    21:34:06    18.07.2018
101769    20 38 25    20.640277777777776    +14 36 52    14.614444444444445    -02 40 18    -2.671666666666667    20 38 25    20.640277777777776    +14 39 41    14.661388888888888    -2.671666666666667    17:58:07    21:36:38    18.07.2018
109176    22 07 52    22.13111111111111    +25 25 04    25.41777777777778    -04 07 38    -4.127222222222223    22 07 53    22.13138888888889    +25 26 06    25.435    -4.127500000000001    18:00:14    21:38:44    18.07.2018
116584    23 38 30    23.641666666666666    +46 30 33    46.509166666666665    -05 35 54    -5.598333333333329    23 38 29    23.641388888888887    +46 33 16    46.55444444444444    -5.5980555555555505    18:02:36    21:41:06    18.07.2018
113881    23 04 41    23.078055555555554    +28 07 34    28.12611111111111    -05 00 30    -5.008333333333333    23 04 40    23.07777777777778    +28 10 53    28.18138888888889    -5.008055555555558    18:04:11    21:42:41    18.07.2018
113726    23 02 48    23.046666666666667    +42 23 05    42.38472222222222    -04 57 06    -4.951666666666668    23 02 47    23.04638888888889    +42 25 21    42.4225    -4.951388888888893    18:05:42    21:44:12    18.07.2018
000677    00 09 20    0.15555555555555556    +29 09 53    29.16472222222222    -06 02 08    -6.035555555555554    00 09 20    0.15555555555555556    +29 11 22    29.189444444444444    -6.035555555555554    18:07:12    21:45:42    18.07.2018
009598    02 04 50    2.0805555555555557    +72 26 25    72.44027777777778    -07 54 20    -7.905555555555555    02 05 02    2.083888888888889    +72 30 10    72.50277777777778    -7.908888888888889    18:10:30    21:48:58    18.07.2018
011767    02 45 14    2.753888888888889    +89 14 01    89.23361111111112    -08 31 38    -8.527222222222223    02 54 27    2.9074999999999998    +89 20 05    89.33472222222221    -8.680833333333332    18:13:36    21:52:04    18.07.2018
008886    01 55 39    1.9274999999999998    +63 39 25    63.65694444444444    -07 40 08    -7.668888888888887    01 55 44    1.9288888888888887    +63 45 14    63.75388888888889    -7.670277777777777    18:15:31    21:53:59    18.07.2018
003179    00 41 35    0.6930555555555555    +56 33 33    56.55916666666666    -06 24 49    -6.413611111111113    00 41 34    0.6927777777777778    +56 37 59    56.63305555555556    -6.413333333333334    18:16:46    21:55:14    18.07.2018
113726    23 02 48    23.046666666666667    +42 19 59    42.33305555555556    -04 44 18    -4.738333333333333    23 02 47    23.04638888888889    +42 25 21    42.4225    -4.738055555555558    18:18:30    21:56:57    18.07.2018
102098    20 42 06    20.701666666666664    +45 15 29    45.25805555555556    -02 21 38    -2.3605555555555533    20 42 05    20.70138888888889    +45 20 49    45.346944444444446    -2.360277777777778    18:20:28    21:58:55    18.07.2018
088771    18 08 15    18.1375    +09 33 47    9.563055555555556    +00 14 41    0.24472222222222229    18 08 14    18.13722222222222    +09 34 14    9.570555555555556    0.245000000000001    18:22:56    22:01:22    19.07.2018
084345    17 15 31    17.25861111111111    +14 22 23    14.373055555555556    +01 09 45    1.1625000000000014    17 15 30    17.258333333333333    +14 22 26    14.373888888888889    1.1627777777777801    18:25:16    22:03:42    19.07.2018
083207    17 01 01    17.016944444444444    +30 53 20    30.88888888888889    +01 26 31    1.4419444444444451    17 01 00    17.016666666666666    +30 54 16    30.904444444444444    1.4422222222222238    18:27:32    22:05:58    19.07.2018
081377    16 38 14    16.63722222222222    -10 35 49    -10.596944444444444    +01 55 08    1.9188888888888904    16 38 11    16.636388888888888    -10 36 03    -10.600833333333332    1.919722222222223    18:33:22    22:11:47    19.07.2018
080883    16 31 53    16.531388888888888    +01 56 58    1.9494444444444445    +02 05 34    2.09277777777778    16 31 51    16.530833333333334    +01 56 51    1.9475    2.0933333333333337    18:37:27    22:15:52    19.07.2018
080816    16 31 02    16.51722222222222    +21 25 38    21.427222222222223    +02 07 52    2.131111111111114    16 31 01    16.516944444444444    +21 27 16    21.454444444444444    2.131388888888889    18:38:54    22:17:18    19.07.2018
080331    16 24 11    16.403055555555554    +61 25 00    61.416666666666664    +02 17 10    2.2861111111111114    16 24 16    16.404444444444444    +61 28 43    61.478611111111114    2.2847222222222214    18:41:21    22:19:44    19.07.2018
079992    16 20 17    16.338055555555556    +46 11 43    46.195277777777775    +02 23 32    2.3922222222222196    16 20 18    16.33833333333333    +46 16 32    46.275555555555556    2.3919444444444444    18:43:49    22:22:12    19.07.2018
