HA[shh mm]    DEC[s°° '']    Type
-13 00    +51 20    Horizontal
-12 30    +51 10    Horizontal
-12 00    +51 30    Horizontal
-11 30    +50 40    Horizontal
-11 00    +50 40    Horizontal
-10 30    +49 30    Tree/Horizontal
-10 00    +51 20    Tree
-09 30    +53 00    Tree
-09 00    +44 20    Tree
-08 30    +53 00    Tree
-08 00    +38 00    Tree
-07 30    +40 00    Tree
-07 15    +37 40    Tree
-07 00    +34 00    Tree
-06 45    +26 30    Tree
-06 30    +23 00    Horizontal
-06 00    +16 00    Horizontal
-05 30    +07 00    Horizontal
-05 00    +04 00    Tree
-04 30    -01 00    Tree
-04 00    -06 30    Tree
-03 30    -08 10    Tree
-03 00    -13 50    Tree
-02 30    -18 40    Tree
-02 00    -18 19    Tree
-01 45    -20 00    Tree
-01 30    -18 20    Tree
-01 15    -20 50    Tree
-01 00    -25 30    Tree
-00 30    -24 30    Tree
+00 00    -26 12    Tree
+00 30    -26 06    Tree
+01 00    -25 30    Tree
+01 30    -23 30    Tree
+01 45    -18 00    Tree
+02 00    -15 30    Tree
+02 30    -14 50    Tree
+03 00    -14 00    Tree
+03 15    -07 10    Tree
+03 30    -04 10    Tree
+03 45    +05 50    Tree
+04 00    +11 20    Tree
+04 30    +14 25    Tree
+04 45    +16 43    Tree
+05 00    +16 00    Tree
+05 30    +19 50    Tree
+05 45    +20 50    Tree/Cupboard
+06 00    +26 40    Tree/Cupboard
+06 15    +29 50    Tree/Cupboard
+06 30    +30 30    Cupboard
+06 45    +38 20    Tree
+06 45    +32 10    Cupboard
+07 00    +38 40    Tree
+07 00    +35 00    Cupboard
+07 15    +38 00    Cupboard
+07 30    +39 00    Cupboard
+07 45    +42 00    Cupboard
+08 00    +42 10    Cupboard
+08 15    +43 50    Cupboard
+08 30    +43 20    Cupboard
+08 45    +44 00    Cupboard
+09 00    +44 40    Horizontal
+09 15    +46 50    Horizontal
+09 30    +48 00    Horizontal
+10 00    +49 00    Horizontal
+10 30    +52 00    Horizontal
+11 00    +52 00    Horizontal
+11 30    +52 00    Horizontal
+12 00    +51 00    Horizontal
+12 30    +50 40    Horizontal
+13 00    +50 20    Horizontal
